Search Term, Sen_compound, house_compound, misc_compound, sen_count, house_count, misc_count
Donald Trump,0.13490176945094523,0.01939607843137255,-0.3196590509994479,3843,51,5353
illegal immigration,-0.6508611111111112,0.0,-0.3138760986066455,18,461,933
border wall,0.32197250000000005,0,0.09505079365079361,40,0,126
health care,0.26614626352015863,0.4951273794002599,0.5876315355330186,2034,767,6304
ACA,-0.038631996417194225,0.13029182098765546,-0.12850092867400714,10048,648,10445
Obamacare,0.06715753424657538,0.10239814814814699,-0.21304167819271605,438,162,2169
